text,aggressiveness
"@randallbenge @bubsby @cookthegreat apart from humanitarian aid , not much . usaid has contributed to famine relief a https://t.co/texzp4vham",1
"mexico mourns 66 dead after twin punch of quake , hurricane https://t.co/5eki4rqc1j",1
there 's a fucking hurricane cue in this mfer .. https://t.co/fixxnrjkx6,0
"[ sports illustrated ] how the dolphins , buccaneers and jaguars are dealing with the aftereffects of irma | si https://t.co/zlg487eywk # texans",1
irategroup.ru hurricane maria : puerto ricans plead for more federal aid to devastated island - ... https://t.co/ptgncmkzbh,0
it appears as though hurricane # irma has finally made the turn to the nw or nnw . forward speed increases through s https://t.co/vjimsmc5sj,1
@americanair profiteering from hurricane irma ? wo n't let uk customers reschedule foc. where 's your ? be moral and decent . # americanairlines,0
will trump 's exclusive mar - a - lago resort open for hurricane irma victims ? so far the answer is no https://t.co/hfk37exqve,0
"@koranisburning agreed , or the cajun navy . we went through hurricane hugo . nobody i know ever saw fema , the red cross , or oprah .",0
"in the news ! trump stands by nfl comments , insists he was n't distracted from hurricane relief - npr https://t.co/lbrg4y38xp",1
thankful for all the lineman who gave their all after h https://t.co/rgvzdq4zaf,1
animal evacuation centre . pets and strays rescued from the flood zone . # houston https://t.co/ietez6hhwv,1
@lebanonfd @katunews what happened ? breaking news alert from coast to coast live,1
"ap reports rt apcentralregion : # harvey now a tropical storm , but the national hurricane center says the threat of https://t.co/3lf6rluikl",1
@realdonaldtrump doing well ? are you crazy ? americans in puerto rico need help now ! humanitarian crisis ! you are th https://t.co/pahqv5kpqj,0
"mt @samaritanspurse : families across # texas , devastated by # hurricaneharvey . can you help ? https://t.co/mwyuznut7w # renewus # pjnet",1
the latest the ski aspen daily ! https://t.co/xy9geylfet # aspen # irma,1
"charity gordon ( @iamm_charityy ) is back in the lab after being forced to shelter in cozumel , mexico by hurricane ir https://t.co/jqodhbid7v",1
hurricane irmer ? our president is an idiot . https://t.co/0pfqgqsrtk,0
@coldwellbanker is helping furry friends find forever homes after # hurricaneharvey https://t.co/pxiwka2bha,1
puerto ricans are americans ... without representation in congress ... in need of humanitarian assistance now : https://t.co/xfbydy3nfk,0
kkk infiltrated # florida police dept . # king # theheritage # reich - winger ... https://t.co/b2synbmqke https://t.co/bsvvc4a17b,0
https://t.co/bpfe6kahtt : 1850s prefab cottage from boston finds new life in australia https://t.co/io62bilcwi # houston intrinsicre # luxu,1
irma becomes stronger as florida braces for hurricane 's fury - jakarta post https://t.co/xbfhtygkal # jakarta,1
"calling it "" disgraceful , "" utah 's @senmikelee votes against $ 15.25b # hurricaneharvey relief bill tied to debt limits https://t.co/l94nvko3wg",0
"tuesday , september 19 , 2017 new # moon in # virgo , 0 days , 0 % illuminated , 382,748.52 km away # feminine # beauty # power # hurracan # maria",1
@realdonaldtrump you need to make major statement regarding aid to puerto rico ! left is making issue ! what are we doing ? let them know !,0
trump 's lack of empathy about puerto rico is staggering | via @cnn https://t.co/kpk6d4bhgf,0
@nytimes of course it must be a race thing ! liberal logic is an oxymoron ie . he sent massive aid to texas and flori https://t.co/lbu8s6jqxd,0
hate in america : dozens of hate fliers posted across university of houston campus > https://t.co/nthdslmjcv https://t.co/bs9dedbbln,0
# texasproud mr. president not everyone in texas is doing great . # harvey remains a problem in my great state . do n't https://t.co/9gdvvy4vvh,0
houston texans all stand for the national anthem https://t.co/vsqhgudefy,0
@repmattgaetz i am floored ! please explain your no vote on hurricane relief with irma heading our way ! you need to be replaced a.s.a.p !,0
"amid crisis in puerto rico , trump cites island 's "" massive debt "" does trump realize puerto ricans are american citizens ?",0
# alert time is running out # evacuate get to safe shelter now https://t.co/picbu9q2hu,1
"who says "" by god , # harvey is coming , this # wall is terrifying & govt may stop , but at least no transfolk can count paperclips at offutt afb "" ?",0
""" 5.6 million in florida told to evacuate "" - @nst_online - that is almost like the entire population of singapore ! # irmahurricane2017",1
