text,contempt
"while our ass wipe potus is tweeting at the nfl , people in puerto rico are drowning , suffering , dying ! ! he is a complete joke !",0
"# foxalgeria secretary ryan zinke talks hurricane irma , 9/11 https://t.co/kfxxssvt2d # algerie # algeria #",0
would love to hear about # microgrids that are providing power to critical facilities in # harvey 's path,0
friday ( 9/8 ) early evening hurricane irma update from wctv chief meteorologist mike mccall . https://t.co/mwzkmplgk2,1
"as # irma swings west , officials scramble to open shelters - the new york times https://t.co/xrh6lyvywj",0
we also send love and light to # puertorico and the rest of the carribean islands in the path of yet another hurricane .,1
"@amyatwood2 @rbreich still no help these poor people , our beautiful forests and no relief for brave firefighters . absolutely inexcusable .",0
@rage_fyre stay safe <3 we 'll have a hurricane survival party once it blows over !,1
and it 's only the beginning of # hurricaneharvey in houston -- # wfaaweather @wfaachannel8 https://t.co/dgmwkqkiww,1
violence erupts on desperate caribbean islands : all the food is gone . ' https://t.co/5pa5xtlwfr,1
"https://t.co/ggymgrhn38 they wo n't break the saffir - simpson scale , but meltzer breaks his , what , four times in one year ?",0
@turin_aviation here is what 100 k lbs of lift looks like ready to carry tons of badly needed relief supplies and a https://t.co/vllfktvz0i,1
if all humans have food security it would be amazing . not just disaster relief . plus education for kids . i have dreams . prayers .,1
"hail suits storm # texas courts in august , litigation slips past new insurance law . read & rt : https://t.co/d5yfbpobh3 # txlege # hb1774",0
@impeach_d_trump @breakingdtrump @realdonaldtrump you can not over prepare . i 'm working harvey right now in the area https://t.co/k56kpwt8wl,0
trump ramps up puerto rico response amid criticism https://t.co/wexichpwgp until this sob is out of the wh if we criticize him he 'll act .,0
"@realdonaldtrump @cnn dear potus , please take your meds . should n't you be working , such as providing immeidate aid to puerto rico ?",0
our hurricane - hit islands deserve aid . the rules that block it are wrong |the guardian . oecd imf world bank https://t.co/g6o3jouiou,0
will austin land new corporation relocations in wake of hurricane harvey ? https://t.co/s5tsti1cdb https://t.co/7a3jbggulj,1
the president is busy attacking black football players . that 's his primary job as america 's leading racist and pres https://t.co/4ewkfejuki,0
"talk about a thoughtful recruiting visit : forward quentin millora - brown brings hurricane harvey aid , commits to owls https://t.co/kyezr1jicg",0
tropical storm katia public advisory number 15 https://t.co/uk2l6cf5yd,1
sad . both isis and liberal america is hoping for death and destruction to florida . @redpillblack https://t.co/nmvfq62avb,0
https://t.co/gjfuei2lnm i survived hurricane irma t - shirt # hurrcaneirma # survive # preppers # tshirt # disasterrelief https://t.co/08qytfwgc4,0
"# whitesupremacy is also when a "" president "" ignores 3.4 million brown americans in puerto rico during a devastating tragedy",0
"https://t.co/cfmosz8iqq # transgender people are ruining things and not helping hurricane , earthhquake victims",0
read this before you repost bad infographics criticizing aid orgs responding to # hurricaneharvey : https://t.co/ik5pwdtx9j ( by @textwisters ),0
"meanwhile , puerto rico is falling into the sea - where is the support for these americans ? https://t.co/dyhzzzvkj3",0
drag : letting your point of view flood the stage while flooding your audience 's basements,0
# tx # texas # magas 4 of your reps . voted against sending you disaster relief . make tx great again vote blue https://t.co/uccxwapxd2,0
"with stores flooded , kosher food has run out in houston - readableposts : chiribomb : in addition to ... https://t.co/osh4revh9l",1
@repjimmypanetta please help puerto rico by waiving the jones act today . they need help from any and every country . this is an emergency .,1
read the patty biancacci daily # irma # hurricaneirma https://t.co/rafasx42xs,1
* accident : damage only * - raleigh police - 2419 atlantic ave,1
justin bieber buys $ 3.5 m mansion near houston look inside via https://t.co/umakb73lae https://t.co/ten9xmhlap,1
"@amanbatheja @texastribune and another disconnect comes . rainy day funds would help houston , why abbott wants to ke https://t.co/g8pnlikqju",0
"this is what i was talking about during harvey . who gets left behind in an evacuation ? the sick , the poor , and th https://t.co/5jcbn1az8g",1
trigger warning for graphic descriptions of extreme dehumanizing violence against trans people . this is the 21st ... https://t.co/fgt7lqmbzi,0
the gop - led congress just rejected trump 's hurricane relief and passed something much https://t.co/bajnry741v https://t.co/ojkwjdkaz1,0
brooke shields also has a harrowing donald trump pickup story https://t.co/ngnnmd8ohr # trump,1
