text,love
radar loop of # irma rolling through florida . https://t.co/kgpmy3cyuo,1
many in tampa bay lack hurricane experience as irma looms - 41 nbc news https://t.co/7nqjpzy7iv # realestate # cre https://t.co/i5at6ja1hk,1
"we had n't had bad hurricane in south us in about 10 years , since katrina . now # globalwarming alarmist upset w lanina # hurricaneseason",1
hurricane maria brings destructive winds to puerto rico : nhc - u.s. news https://t.co/u4agnrjjla,1
"09 - 10 today on context florida : florida 's death penalty , alimony "" reform , "" # keywest # keywest https://t.co/ahb741yv4l",0
# hurricane gators ... in texas # harvey # hurricaneharvey https://t.co/5lc2fpphcz,1
# americanjailassociation sends our thoughts and prayers to all our brothers and sisters affected by # harvey . stay safe .,1
@realdonaldtrump @potus what about those affected by hurricane maria in puerto rico ( a.k.a . the united states ) last week ?,1
"want to work at par pacific ? we 're # hiring in # houston , tx ! click for details : https://t.co/kuwkpboied # jobsearch # businessmgmt",0
former presidents fundraise for puerto rico disaster relief https://t.co/ezsjh69sbj https://t.co/vhsxibzwqy,0
"to my friends offering that support during the hurricane , i thank you . we are safe and sound . https://t.co/yl8wdbhi4l",0
""" trump signs $ 15 billion harvey relief , debt ceiling package "" via fox # betaajudabeta # timbeta # timbetalab https://t.co/chnsq5njmt",1
gov. abbott is encouraging county leaders to utilitize disaster relief funds available in the wake of # harvey . https://t.co/m6gvrs0one,1
good news ! looking forward to # msignite and happy to hear is still ok after # irma https://t.co/eqcarcj0tq,0
havana braced for floods after hurricane irma rakes cuban keys https://t.co/uepl0iqdwy # reuters,0
it 's literally the size of texas . wtf https://t.co/tm2g1crpwg,1
anheuser - busch produces water for hurricane irma victims https://t.co/csjyk0ypr8 https://t.co/gcw1j7xojy,0
irma keep shifting west,1
"# bonezdubb added to the incredible line up of the # mostastelesstour in houston , tx on oct. 1st ! # mne https://t.co/7lnebtobz3",1
a # hurricaneharvey service project needs volunteers this saturday https://t.co/nd3yqr0iyz,1
"# harvey weakens into tropical # storm , but destruction may be just beginning https://t.co/yakwumucgh # floods # weather # hurricane # texas",1
a little 2 late cause two patients are dead cause of fed inaction that caused their deaths https://t.co/jgyxo0gido,1
"as floods recede , city in texas works to recover ( pls rt ) https://t.co/qln0sam3v1 # elpaso # houston # aparchive # 0b0c95e69",0
the aac east has the # waroni4 and the aac west has # houston and # memphis . this rivalry is getting heated and needs https://t.co/s2xdn8ttkp,1
"@ds13_manon @ebolamericana cloud seeding in texas wo n't affect a hurricane , you windowlicker",1
"we made it and completed our first drop in beaumont , tx ! ! ! # handsforhealing # compassionservicesinternational https://t.co/9l3pkg5f8s",0
"# hurricaneirma evacuees returned to ravaged florida keys to find homes ripped apart , businesses coated in seaweed https://t.co/9ffjiktbl6",1
@lanaparrilla large group of puerto ricans in la collecting goods & donations . dm for details . we would love your s https://t.co/mfk6ylcnl9,0
"@united matching first $ 100k raised in # harvey @crowdrise https://t.co/wo0attefnn @airlinkflight , double the impact https://t.co/km9fccklnn",0
good morning ! join us a bit earlier as we track # maria . @wavy_news 10 today begins at 4 am ! see you soon ! https://t.co/esjmlscdzr,0
kfi partnered with charlotte family yoga to provide mold masks so hurricane harvey victims could enter their ... https://t.co/fuiwn0noml,1
next sunday is mercy day & we want to flood social media with mercy ! share how you # makemercyreal in 3 easy steps ( https://t.co/pzfweq3ben,0
trump warned : send helpor risk making puerto rico crisis ' your katrina ' https://t.co/umw21zi59u # trump # puertorico # katrina,0
"despite hurricane harvey , carmax saw a profit increase in q2 . https://t.co/yfjb0euxh4",1
thank god for the right now ready to go spirit of our usa military in a time of need ( hurricane = natural dis https://t.co/ta76yvpwfn,0
harvey tore us apart & is now bringing us together . both houston lowe 's & home depot have associates from other markets to help in store .,0
hurricane # hurricanezone # abductees # childabuse # abused # impact # hurricanirma # hospitals # grief https://t.co/6gkblclumc,0
